void,rock,paper,scissors
4272,2493,1853,1382
331,3233,4957,1479
1842,3529,2875,1754
782,3716,3887,1615
33,1140,6821,2006
15,812,6725,2448
7,611,6389,2993
1,488,5241,4270
0,509,4560,4931
0,562,3874,5564
0,637,3243,6120
0,742,2645,6613
0,871,2108,7021
0,1037,1622,7341
0,1225,1206,7569
0,1432,871,7697
0,1676,646,7678
157,2391,5940,1512
0,1965,506,7529
63,1666,6579,1692
0,2269,453,7278
0,2598,454,6948
0,2967,477,6556
0,3729,596,5675
2,503,5885,3610
0,4093,681,5226
0,4729,898,4373
0,5001,1025,3974
0,5198,1171,3631
0,5367,1333,3300
0,5457,1507,3036
0,5508,1694,2798
0,5518,1888,2594
0,5491,2086,2423
0,5418,2268,2314
0,4436,784,4780
0,5293,2454,2253
0,4880,2867,2253
0,4727,2958,2315
0,4581,3003,2416
0,4420,3029,2551
0,4275,3020,2705
0,4139,2997,2864
0,5155,2618,2227
0,3349,525,6126
0,5029,2756,2215
0,3761,2916,3323
0,3657,2908,3435
0,3580,2897,3523
0,3999,2958,3043
0,3504,2858,3638
0,3465,2829,3706
0,3447,2791,3762
0,3435,2755,3810
0,3423,2742,3835
0,3417,2764,3819
0,3406,2803,3791
0,3378,2834,3788
0,3344,2873,3783
0,3310,2903,3787
0,3279,2958,3763
0,3267,2984,3749
0,3270,3006,3724
0,3266,3024,3710
0,3257,3023,3720
0,3257,3019,3724
0,3270,3007,3723
0,3289,2997,3714
0,3325,2983,3692
0,3369,2972,3659
0,3413,2963,3624
0,3454,2972,3574
0,3502,3000,3498
0,3556,3028,3416
0,3628,3041,3331
0,3703,3069,3228
0,3781,3086,3133
0,3853,3132,3015
0,3935,3195,2870
0,4011,3246,2743
0,4086,3291,2623
0,4140,3350,2510
0,4181,3403,2416
0,4177,3454,2369
0,4158,3511,2331
0,3873,2936,3191
0,4076,3608,2316
0,3532,2875,3593
0,3912,3706,2382
0,3831,3732,2437
0,3784,3722,2494
0,3747,3698,2555
0,3722,3655,2623
0,3702,3611,2687
0,3690,3553,2757
0,3672,3497,2831
0,3662,3431,2907
0,3645,3365,2990
0,3634,3294,3072
0,3619,3237,3144
0,3598,3189,3213
0,3590,3133,3277
0,3582,3098,3320
0,4003,3659,2338
0,3584,3021,3395
0,4118,3559,2323
0,3635,2940,3425
0,3658,2902,3440
0,3690,2873,3437
0,3699,2844,3457
0,3696,2822,3482
0,3612,2979,3409
0,3668,2819,3513
0,3621,2824,3555
0,3566,2857,3577
0,3505,2910,3585
0,3437,2966,3597
0,3371,3027,3602
0,3297,3077,3626
0,3567,3073,3360
0,3131,3158,3711
0,3195,3137,3668
0,3058,3117,3825
0,3103,3140,3757
0,2980,3023,3997
0,2935,2972,4093
0,2885,2916,4199
0,3024,3072,3904
0,2789,2810,4401
0,3691,2815,3494
0,2691,2754,4555
0,2739,2789,4472
0,2600,2796,4604
